account_id,account_type,customer_segment,kyc_status,account_age_days,country,region,preferred_channel,device_type,device_risk_score,login_failed_attempts,avg_monthly_txn_count,avg_monthly_amount,is_high_risk_profile,profile_created_at
C1000000019,CUSTOMER,BASIC,PENDING,463,PE,Junin,MOBILE,WEB_BROWSER,68,5,128,9440.79,1,2024-10-06
C1000000020,CUSTOMER,STANDARD,VERIFIED,2911,PE,Junin,MOBILE,ANDROID,12,0,171,4913.12,0,2022-01-08
C1000000021,CUSTOMER,PREMIUM,VERIFIED,1343,PE,Piura,ATM,UNKNOWN,40,2,168,6806.83,0,2022-05-27
C1000000022,CUSTOMER,STANDARD,VERIFIED,1868,PE,Cusco,WEB,IOS,12,2,44,10318.22,0,2022-01-06
C1000000023,CUSTOMER,BASIC,VERIFIED,2444,PE,Arequipa,WEB,IOS,36,1,91,562.5,0,2021-09-19
C1000000024,CUSTOMER,BASIC,VERIFIED,3365,PE,Arequipa,MOBILE,WEB_BROWSER,42,0,77,5568.59,0,2025-12-27
C1000000025,CUSTOMER,BASIC,VERIFIED,2606,PE,Puno,WEB,WEB_BROWSER,7,0,47,4875.1,0,2021-11-07
C1000000026,CUSTOMER,BASIC,VERIFIED,1789,PE,Arequipa,WEB,WEB_BROWSER,20,1,53,3049.1,0,2020-10-18
C1000000027,CUSTOMER,BASIC,VERIFIED,3019,PE,Piura,MOBILE,IOS,16,2,143,11877.34,0,2023-02-10
C1000000028,CUSTOMER,BUSINESS,VERIFIED,2612,PE,Puno,AGENCY,ANDROID,35,0,170,5904.08,0,2025-05-17
C1000000029,CUSTOMER,BASIC,VERIFIED,901,PE,La Libertad,MOBILE,UNKNOWN,77,3,164,3027.36,1,2023-07-26
C1000000030,CUSTOMER,BASIC,VERIFIED,833,PE,Cusco,MOBILE,ANDROID,38,3,29,4312.83,0,2024-03-03
C1000000031,CUSTOMER,BASIC,VERIFIED,30,CL,International,MOBILE,WEB_BROWSER,62,0,124,1761.17,0,2023-08-29
C1000000032,CUSTOMER,BASIC,VERIFIED,924,PE,Junin,ATM,ANDROID,13,0,49,1057.93,0,2023-01-25
C1000000033,CUSTOMER,PREMIUM,VERIFIED,1093,CO,International,MOBILE,ANDROID,40,3,28,370.37,0,2020-01-08
C1000000034,CUSTOMER,STANDARD,VERIFIED,3553,PE,Arequipa,ATM,IOS,17,2,58,11529.15,0,2025-05-25
C1000000035,CUSTOMER,BASIC,PENDING,3193,PE,Puno,MOBILE,ANDROID,51,1,61,10930.97,0,2024-07-14
C1000000036,CUSTOMER,BASIC,VERIFIED,1562,PE,La Libertad,MOBILE,UNKNOWN,61,0,165,7244.28,0,2021-07-06
C1000000037,CUSTOMER,BASIC,VERIFIED,1136,PE,Huanuco,MOBILE,WEB_BROWSER,39,0,86,7932.23,0,2022-12-10
C1000000038,CUSTOMER,BASIC,VERIFIED,638,PE,Huanuco,WEB,ANDROID,24,1,98,254.41,0,2021-10-15
C1000000039,CUSTOMER,BASIC,VERIFIED,3583,PE,Puno,WEB,IOS,10,0,78,11397.45,0,2025-10-10
C1000000040,CUSTOMER,STANDARD,PENDING,1551,US,International,WEB,WEB_BROWSER,68,0,112,10316.35,0,2021-11-01
C1000000041,CUSTOMER,BASIC,PENDING,3623,PE,Arequipa,WEB,IOS,51,1,175,5903.7,0,2020-04-23
C1000000042,CUSTOMER,BASIC,VERIFIED,1884,CO,International,MOBILE,IOS,19,0,141,7965.05,0,2021-02-20
C1000000043,CUSTOMER,BASIC,VERIFIED,1886,PE,Cusco,WEB,ANDROID,17,1,119,10867.13,0,2023-11-20
C1000000044,CUSTOMER,STANDARD,VERIFIED,2079,PE,Arequipa,ATM,POS,56,3,163,4449.63,0,2020-10-24
C1000000045,CUSTOMER,PREMIUM,PENDING,1226,PE,Piura,ATM,ANDROID,27,2,13,11319.22,0,2020-01-02
C1000000046,CUSTOMER,STANDARD,VERIFIED,962,PE,Piura,MOBILE,IOS,29,0,133,6545.47,0,2025-09-08
C1000000047,CUSTOMER,PREMIUM,VERIFIED,2342,PE,La Libertad,MOBILE,ANDROID,53,3,96,5441.42,0,2020-06-23
C1000000048,CUSTOMER,BASIC,VERIFIED,2445,PE,Cusco,MOBILE,ANDROID,20,0,133,9941.17,0,2020-03-19
C1000000049,CUSTOMER,STANDARD,VERIFIED,1339,PE,Puno,WEB,WEB_BROWSER,59,5,176,6428.89,1,2021-08-27
C1000000050,CUSTOMER,BUSINESS,VERIFIED,3424,PE,Cusco,MOBILE,ANDROID,12,2,96,4970.99,0,2020-03-07
C1000000051,CUSTOMER,PREMIUM,VERIFIED,3403,CO,International,ATM,IOS,60,6,144,9029.97,1,2021-08-12
C1000000052,CUSTOMER,BASIC,VERIFIED,2867,PE,Puno,WEB,WEB_BROWSER,34,0,134,1186.83,0,2023-06-02
C1000000053,CUSTOMER,STANDARD,VERIFIED,956,PE,Junin,MOBILE,ANDROID,25,0,136,10856.15,0,2020-08-02
C1000000054,CUSTOMER,PREMIUM,VERIFIED,3104,PE,Puno,WEB,WEB_BROWSER,44,1,154,6532.96,0,2020-12-04
C1000000055,CUSTOMER,BASIC,VERIFIED,2733,PE,Cusco,ATM,ANDROID,20,0,168,6920.29,0,2020-11-16
C1000000056,CUSTOMER,STANDARD,VERIFIED,2734,PE,Lima,MOBILE,UNKNOWN,63,2,144,3782.72,0,2020-05-04
C1000000057,CUSTOMER,STANDARD,REJECTED,2736,PE,Cusco,ATM,WEB_BROWSER,55,2,75,818.84,1,2022-10-13
C1000000058,CUSTOMER,STANDARD,PENDING,964,PE,Cusco,MOBILE,WEB_BROWSER,20,0,48,10549.95,0,2024-05-13
C1000000059,CUSTOMER,STANDARD,VERIFIED,3437,CL,International,WEB,UNKNOWN,54,0,85,8843.87,0,2025-11-25
C1000000060,CUSTOMER,BASIC,VERIFIED,1129,PE,Arequipa,MOBILE,ANDROID,17,0,115,11469.08,0,2022-04-30
C1000000061,CUSTOMER,STANDARD,VERIFIED,627,US,International,MOBILE,ANDROID,29,0,128,10410.23,0,2025-09-28
C1000000062,CUSTOMER,BASIC,VERIFIED,258,PE,Lima,ATM,ANDROID,33,0,104,4910.84,0,2020-02-10
C1000000063,CUSTOMER,BASIC,VERIFIED,3216,PE,Piura,MOBILE,ANDROID,25,0,137,2026.63,0,2021-03-20
C1000000064,CUSTOMER,BASIC,VERIFIED,1344,PE,Piura,MOBILE,ANDROID,35,2,36,1937.5,0,2023-01-18
C1000000065,CUSTOMER,BASIC,VERIFIED,2049,CL,International,ATM,ANDROID,20,0,10,192.31,0,2025-11-10
C1000000066,CUSTOMER,STANDARD,VERIFIED,39,US,International,AGENCY,WEB_BROWSER,49,0,69,7456.6,0,2020-03-22
C1000000067,CUSTOMER,BASIC,VERIFIED,1733,PE,Puno,AGENCY,WEB_BROWSER,29,0,107,6150.99,0,2021-01-29
C1000000068,CUSTOMER,STANDARD,VERIFIED,2215,CO,International,MOBILE,ANDROID,39,1,34,4097.35,0,2024-05-15
C1000000069,CUSTOMER,STANDARD,PENDING,1552,PE,Junin,AGENCY,ANDROID,32,2,48,1291.72,0,2021-12-13
C1000000070,CUSTOMER,BASIC,VERIFIED,80,PE,Lima,MOBILE,POS,53,2,104,948.84,0,2022-11-25
C1000000071,CUSTOMER,STANDARD,VERIFIED,1715,PE,Junin,WEB,IOS,22,1,142,616.69,0,2023-03-10
C1000000072,CUSTOMER,STANDARD,VERIFIED,3239,PE,Lima,ATM,ANDROID,39,1,79,6513.97,0,2022-12-27
C1000000073,CUSTOMER,BUSINESS,VERIFIED,2917,PE,Cusco,MOBILE,WEB_BROWSER,23,0,170,5434.49,0,2023-12-12
C1000000074,CUSTOMER,PREMIUM,REJECTED,1648,US,International,MOBILE,ANDROID,49,0,115,5117.34,1,2024-01-04
C1000000075,CUSTOMER,BASIC,VERIFIED,3105,PE,Piura,WEB,WEB_BROWSER,27,1,63,6174.26,0,2022-10-21
C1000000076,CUSTOMER,STANDARD,VERIFIED,2814,PE,Puno,WEB,WEB_BROWSER,39,0,145,2852.62,0,2021-09-24
C1000000077,CUSTOMER,STANDARD,REJECTED,3559,PE,Arequipa,MOBILE,WEB_BROWSER,67,4,122,9606.21,1,2024-11-29
C1000000078,CUSTOMER,BASIC,VERIFIED,3477,PE,Puno,WEB,ANDROID,59,3,136,4962.01,0,2021-09-06
C1000000079,CUSTOMER,BASIC,VERIFIED,2318,PE,Junin,MOBILE,ANDROID,65,3,125,6053.25,0,2025-11-09
C1000000080,CUSTOMER,BUSINESS,REJECTED,909,MX,International,MOBILE,IOS,67,0,22,2480.33,1,2024-09-11
C1000000081,CUSTOMER,PREMIUM,VERIFIED,866,PE,Cusco,MOBILE,ANDROID,32,2,140,2115.33,0,2023-10-24
C1000000082,CUSTOMER,STANDARD,REJECTED,1583,US,International,WEB,WEB_BROWSER,74,0,47,6705.28,1,2024-04-08
C1000000083,CUSTOMER,PREMIUM,VERIFIED,1389,PE,Lima,WEB,IOS,22,0,53,7086.86,0,2024-09-10
C1000000084,CUSTOMER,BASIC,VERIFIED,3035,US,International,WEB,ANDROID,47,3,103,7062.98,0,2024-11-30
C1000000085,CUSTOMER,STANDARD,PENDING,1384,PE,Lima,WEB,IOS,50,0,79,3723.01,0,2020-06-30
C1000000086,CUSTOMER,BASIC,VERIFIED,897,PE,Arequipa,MOBILE,ANDROID,37,1,14,5371.96,0,2025-05-22
C1000000087,CUSTOMER,BASIC,VERIFIED,1600,PE,Piura,WEB,IOS,36,3,34,11701.52,0,2021-09-17
C1000000088,CUSTOMER,BASIC,VERIFIED,1198,PE,Lima,AGENCY,ANDROID,33,1,28,7327.74,0,2024-09-10
C1000000089,CUSTOMER,BASIC,VERIFIED,1466,CO,International,MOBILE,IOS,47,0,59,11929.63,0,2022-08-30
C1000000090,CUSTOMER,BASIC,VERIFIED,1964,PE,Huanuco,MOBILE,WEB_BROWSER,24,0,129,4473.76,0,2023-12-10
C1000000091,CUSTOMER,STANDARD,VERIFIED,1435,PE,Arequipa,MOBILE,WEB_BROWSER,40,1,17,5479.47,0,2024-10-22
C1000000092,CUSTOMER,STANDARD,VERIFIED,3628,PE,Cusco,MOBILE,ANDROID,29,0,164,1075.14,0,2024-02-04
C1000000093,CUSTOMER,BASIC,VERIFIED,1390,PE,La Libertad,WEB,UNKNOWN,37,0,121,5848.88,0,2025-03-05
C1000000094,CUSTOMER,STANDARD,VERIFIED,1060,CO,International,MOBILE,IOS,17,1,30,1436.16,0,2022-03-18
C1000000095,CUSTOMER,BUSINESS,VERIFIED,1776,PE,Arequipa,MOBILE,ANDROID,17,0,177,10260.49,0,2024-05-17
C1000000096,CUSTOMER,STANDARD,VERIFIED,1108,PE,La Libertad,AGENCY,IOS,27,0,160,3165.44,0,2022-07-16
C1000000097,CUSTOMER,BASIC,REJECTED,2795,PE,La Libertad,WEB,ANDROID,60,1,111,11799.83,1,2025-08-01
C1000000098,CUSTOMER,STANDARD,PENDING,323,MX,International,MOBILE,ANDROID,51,0,123,8977.72,0,2024-07-09
C1000000099,CUSTOMER,BUSINESS,VERIFIED,3046,PE,Puno,MOBILE,WEB_BROWSER,41,4,53,9950.82,0,2020-04-30
C1000000100,CUSTOMER,BASIC,VERIFIED,1188,PE,Huanuco,AGENCY,UNKNOWN,58,0,68,9953.71,0,2020-05-25
C1000000101,CUSTOMER,BASIC,VERIFIED,2896,CO,International,MOBILE,IOS,21,1,59,8476.11,0,2024-12-16
C1000000102,CUSTOMER,PREMIUM,VERIFIED,119,PE,Lima,ATM,WEB_BROWSER,42,1,40,10762.51,0,2024-12-12
C1000000103,CUSTOMER,PREMIUM,VERIFIED,3070,CO,International,MOBILE,IOS,24,0,26,7158.2,0,2022-10-30
C1000000104,CUSTOMER,PREMIUM,VERIFIED,1341,CL,International,WEB,IOS,44,1,147,9623.1,0,2024-11-17
C1000000105,CUSTOMER,BASIC,VERIFIED,1201,PE,Lima,WEB,ANDROID,28,1,148,7069.56,0,2022-04-05
C1000000106,CUSTOMER,BASIC,PENDING,1480,PE,Arequipa,MOBILE,POS,55,4,59,5317.19,0,2024-11-19
C1000000107,CUSTOMER,BASIC,VERIFIED,1722,PE,Piura,MOBILE,IOS,37,2,156,11087.02,0,2024-12-04
C1000000108,CUSTOMER,BASIC,VERIFIED,392,PE,Arequipa,AGENCY,IOS,20,2,119,8962.42,0,2020-09-20
C1000000109,CUSTOMER,STANDARD,VERIFIED,2140,PE,Puno,MOBILE,IOS,61,3,164,5797.81,0,2021-03-21
C1000000110,CUSTOMER,STANDARD,VERIFIED,2854,PE,Puno,WEB,IOS,34,2,83,236.29,0,2023-03-03
C1000000111,CUSTOMER,BUSINESS,VERIFIED,1355,PE,Puno,WEB,ANDROID,15,0,115,5166.82,0,2021-03-17
C1000000112,CUSTOMER,BASIC,VERIFIED,2618,PE,Junin,ATM,WEB_BROWSER,35,1,43,1250.69,0,2021-01-08
C1000000113,CUSTOMER,PREMIUM,VERIFIED,1706,PE,Huanuco,WEB,ANDROID,63,5,77,621.54,1,2024-10-07
C1000000114,CUSTOMER,BASIC,VERIFIED,3552,PE,Lima,MOBILE,WEB_BROWSER,24,2,138,6288.52,0,2024-11-28
C1000000115,CUSTOMER,STANDARD,VERIFIED,642,PE,Piura,MOBILE,POS,48,0,29,1418.78,0,2025-01-17
C1000000116,CUSTOMER,BUSINESS,VERIFIED,2477,PE,Arequipa,MOBILE,ANDROID,22,0,76,5376.66,0,2021-08-09
C1000000117,CUSTOMER,STANDARD,VERIFIED,2646,PE,La Libertad,MOBILE,ANDROID,38,6,159,4488.98,1,2020-03-24
C1000000118,CUSTOMER,PREMIUM,PENDING,587,PE,Huanuco,AGENCY,ANDROID,22,1,82,10120.32,0,2022-06-02
C1000000119,CUSTOMER,STANDARD,VERIFIED,2794,PE,Piura,MOBILE,WEB_BROWSER,45,0,95,4663.02,0,2024-05-17
C1000000120,CUSTOMER,BASIC,VERIFIED,1062,PE,Junin,MOBILE,WEB_BROWSER,35,0,144,2604.03,0,2020-08-11
C1000000121,CUSTOMER,BASIC,PENDING,1199,PE,La Libertad,ATM,ANDROID,55,4,173,7915.06,0,2023-10-01
C1000000122,CUSTOMER,BASIC,VERIFIED,3169,PE,La Libertad,AGENCY,ANDROID,42,1,84,7752.73,0,2025-08-05
C1000000123,CUSTOMER,BASIC,PENDING,2078,CL,International,WEB,IOS,47,1,72,2038.71,0,2023-07-29
C1000000124,CUSTOMER,BASIC,VERIFIED,336,PE,Lima,MOBILE,POS,35,2,58,11100.24,0,2020-08-19
C1000000125,CUSTOMER,BASIC,VERIFIED,2031,PE,Junin,MOBILE,IOS,13,1,165,4595.8,0,2022-02-27
C1000000126,CUSTOMER,BASIC,VERIFIED,3044,PE,Lima,WEB,IOS,53,0,121,559.73,0,2025-03-26
C1000000127,CUSTOMER,STANDARD,VERIFIED,2529,PE,Lima,MOBILE,IOS,25,1,75,11795.27,0,2024-06-25
C1000000128,CUSTOMER,BUSINESS,VERIFIED,2266,PE,Piura,WEB,UNKNOWN,38,0,178,1597.87,0,2023-07-09
C1000000129,CUSTOMER,BASIC,VERIFIED,2048,PE,Cusco,MOBILE,ANDROID,20,2,25,665.74,0,2025-05-22
C1000000130,CUSTOMER,BASIC,VERIFIED,1181,PE,Huanuco,WEB,ANDROID,21,0,143,5508.63,0,2020-09-05
C1000000131,CUSTOMER,PREMIUM,VERIFIED,2252,PE,Arequipa,MOBILE,ANDROID,23,4,84,5383.29,0,2022-06-15
C1000000132,CUSTOMER,STANDARD,VERIFIED,1173,PE,Cusco,MOBILE,ANDROID,23,2,134,3990.57,0,2024-05-11
C1000000133,CUSTOMER,STANDARD,VERIFIED,2182,CL,International,WEB,IOS,24,1,47,10382.98,0,2024-06-12
C1000000134,CUSTOMER,BASIC,PENDING,3349,PE,Junin,ATM,ANDROID,48,0,45,8443.48,0,2024-11-07
C1000000135,CUSTOMER,BASIC,VERIFIED,2180,PE,Huanuco,WEB,WEB_BROWSER,18,0,133,7413.2,0,2021-05-31
C1000000136,CUSTOMER,PREMIUM,VERIFIED,597,PE,Lima,WEB,WEB_BROWSER,32,0,98,1708.93,0,2020-08-21
C1000000137,CUSTOMER,BASIC,VERIFIED,2291,CL,International,MOBILE,IOS,20,0,144,11799.86,0,2022-09-28
C1000000138,CUSTOMER,BASIC,VERIFIED,635,PE,Arequipa,WEB,IOS,38,1,78,8571.93,0,2023-03-20
C1000000139,CUSTOMER,BASIC,VERIFIED,1706,PE,La Libertad,MOBILE,IOS,53,0,153,7320.36,0,2020-03-24
C1000000140,CUSTOMER,BASIC,VERIFIED,1606,PE,Lima,WEB,WEB_BROWSER,16,2,20,6381.51,0,2025-06-21
C1000000141,CUSTOMER,STANDARD,PENDING,2209,PE,Arequipa,WEB,ANDROID,65,4,83,4097.32,0,2025-10-10
C1000000142,CUSTOMER,BASIC,VERIFIED,254,PE,Cusco,ATM,ANDROID,54,3,156,2015.79,0,2021-01-11
C1000000143,CUSTOMER,BUSINESS,VERIFIED,2286,PE,Piura,MOBILE,POS,51,5,174,3322.29,1,2020-11-07
C1000000144,CUSTOMER,STANDARD,VERIFIED,2878,PE,Junin,MOBILE,IOS,44,1,19,9698.85,0,2025-04-12
C1000000145,CUSTOMER,BASIC,VERIFIED,1603,PE,La Libertad,MOBILE,WEB_BROWSER,40,0,65,4890.12,0,2024-09-24
C1000000146,CUSTOMER,STANDARD,PENDING,2185,PE,Cusco,MOBILE,ANDROID,61,1,74,9063.35,0,2020-09-02
C1000000147,CUSTOMER,BASIC,VERIFIED,1395,PE,Puno,ATM,ANDROID,38,0,84,5833.98,0,2020-09-18
C1000000148,CUSTOMER,BASIC,VERIFIED,1149,PE,La Libertad,AGENCY,IOS,38,0,59,7911.41,0,2023-01-21
C1000000149,CUSTOMER,STANDARD,VERIFIED,546,PE,Puno,WEB,WEB_BROWSER,43,0,32,2437.27,0,2026-01-04
C1000000150,CUSTOMER,STANDARD,VERIFIED,1489,PE,La Libertad,MOBILE,IOS,15,1,42,225.36,0,2024-12-04
C1000000151,CUSTOMER,STANDARD,VERIFIED,2847,PE,Huanuco,MOBILE,ANDROID,37,0,85,10440.27,0,2022-11-29
C1000000152,CUSTOMER,STANDARD,VERIFIED,558,CO,International,MOBILE,POS,45,0,143,10821.54,0,2023-03-28
C1000000153,CUSTOMER,PREMIUM,VERIFIED,2240,PE,Puno,MOBILE,WEB_BROWSER,27,0,6,6160.43,0,2024-11-04
C1000000154,CUSTOMER,PREMIUM,VERIFIED,1059,PE,Lima,MOBILE,UNKNOWN,68,0,144,11902.48,0,2023-04-19
C1000000155,CUSTOMER,BUSINESS,PENDING,1066,PE,Lima,WEB,WEB_BROWSER,51,0,104,6966.41,0,2024-01-20
C1000000156,CUSTOMER,STANDARD,VERIFIED,1399,PE,Cusco,MOBILE,ANDROID,41,0,113,10760.76,0,2023-01-02
C1000000157,CUSTOMER,STANDARD,VERIFIED,1771,PE,Junin,MOBILE,POS,49,5,150,7558.21,1,2023-04-08
C1000000158,CUSTOMER,STANDARD,PENDING,1454,PE,Arequipa,MOBILE,IOS,38,0,31,1566.07,0,2023-01-25
C1000000159,CUSTOMER,STANDARD,PENDING,675,PE,La Libertad,WEB,ANDROID,41,1,109,4399.93,0,2020-10-04
C1000000160,CUSTOMER,BASIC,VERIFIED,870,PE,Lima,WEB,ANDROID,32,1,174,8077.17,0,2022-12-24
C1000000161,CUSTOMER,STANDARD,VERIFIED,1293,PE,Puno,MOBILE,ANDROID,27,0,44,551.26,0,2023-06-17
C1000000162,CUSTOMER,BASIC,VERIFIED,2400,PE,Puno,MOBILE,UNKNOWN,46,0,131,1194.35,0,2024-11-07
C1000000163,CUSTOMER,BASIC,VERIFIED,3383,PE,Puno,AGENCY,ANDROID,45,0,14,6458.47,0,2023-02-26
C1000000164,CUSTOMER,PREMIUM,VERIFIED,494,US,International,MOBILE,WEB_BROWSER,43,0,117,11866.44,0,2025-05-10
C1000000165,CUSTOMER,PREMIUM,VERIFIED,3197,MX,International,ATM,POS,41,1,162,8611.67,0,2020-07-22
C1000000166,CUSTOMER,BASIC,VERIFIED,3391,CO,International,MOBILE,ANDROID,33,0,56,4536.14,0,2020-03-19
C1000000167,CUSTOMER,BASIC,VERIFIED,2826,PE,Piura,MOBILE,ANDROID,44,0,66,11838.05,0,2024-09-02
C1000000168,CUSTOMER,STANDARD,VERIFIED,2104,CL,International,MOBILE,WEB_BROWSER,14,2,171,4397.04,0,2020-04-15
C1000000169,CUSTOMER,BASIC,PENDING,2194,MX,International,WEB,ANDROID,71,0,9,9631.47,1,2020-12-16
C1000000170,CUSTOMER,STANDARD,REJECTED,1951,PE,Cusco,MOBILE,IOS,64,0,70,3338.1,1,2021-07-07
C1000000171,CUSTOMER,STANDARD,VERIFIED,1442,PE,Lima,AGENCY,IOS,6,0,99,5379.42,0,2023-12-24
C1000000172,CUSTOMER,STANDARD,VERIFIED,130,MX,International,MOBILE,POS,35,0,34,6672.1,0,2025-11-12
C1000000173,CUSTOMER,BASIC,VERIFIED,3233,MX,International,WEB,IOS,17,0,68,9023.8,0,2021-03-13
C1000000174,CUSTOMER,BASIC,VERIFIED,1300,PE,Arequipa,MOBILE,WEB_BROWSER,30,0,172,11363.96,0,2021-07-13
C1000000175,CUSTOMER,BUSINESS,REJECTED,1258,US,International,MOBILE,IOS,55,2,97,3717.95,1,2024-08-13
C1000000176,CUSTOMER,STANDARD,PENDING,833,PE,Junin,WEB,WEB_BROWSER,55,0,27,662.58,0,2022-05-12
C1000000177,CUSTOMER,BASIC,VERIFIED,2125,CO,International,WEB,ANDROID,13,0,54,355.69,0,2022-12-31
C1000000178,CUSTOMER,STANDARD,VERIFIED,2958,CO,International,WEB,ANDROID,30,0,17,1696.9,0,2025-09-09
C1000000179,CUSTOMER,PREMIUM,PENDING,3369,PE,Huanuco,MOBILE,IOS,38,1,67,11641.89,0,2021-12-19
C1000000180,CUSTOMER,BASIC,VERIFIED,2853,PE,Puno,MOBILE,IOS,49,0,10,4432.96,0,2024-11-20
C1000000181,CUSTOMER,STANDARD,VERIFIED,3384,PE,Piura,WEB,ANDROID,43,1,172,3331.79,0,2024-04-23
C1000000182,CUSTOMER,STANDARD,REJECTED,2901,PE,Puno,AGENCY,ANDROID,89,6,118,10580.23,1,2022-07-24
C1000000183,CUSTOMER,STANDARD,VERIFIED,3483,PE,Piura,WEB,ANDROID,35,2,80,2844.72,0,2024-06-15
C1000000184,CUSTOMER,STANDARD,VERIFIED,3117,PE,Junin,MOBILE,IOS,39,0,113,4941.5,0,2021-08-08
C1000000185,CUSTOMER,BASIC,PENDING,959,PE,Puno,MOBILE,IOS,60,0,68,10938.38,0,2026-01-09
C1000000186,CUSTOMER,STANDARD,VERIFIED,3012,PE,Lima,MOBILE,IOS,48,0,114,1646.7,0,2022-04-28
C1000000187,CUSTOMER,STANDARD,VERIFIED,1042,PE,Cusco,MOBILE,IOS,47,3,55,8671.7,0,2025-07-13
C1000000188,CUSTOMER,BASIC,PENDING,1206,PE,Junin,MOBILE,WEB_BROWSER,41,0,4,1698.58,0,2024-07-16
C1000000189,CUSTOMER,STANDARD,VERIFIED,1166,US,International,ATM,IOS,32,0,87,4504.48,0,2024-09-28
C1000000190,CUSTOMER,BASIC,VERIFIED,2547,PE,Arequipa,MOBILE,ANDROID,30,1,128,6555.88,0,2020-05-26
C1000000191,CUSTOMER,PREMIUM,VERIFIED,3026,MX,International,ATM,WEB_BROWSER,5,1,121,3936.75,0,2020-04-14
C1000000192,CUSTOMER,BASIC,VERIFIED,1630,CO,International,WEB,ANDROID,46,0,39,7868.38,0,2020-07-29
C1000000193,CUSTOMER,STANDARD,VERIFIED,130,PE,Puno,MOBILE,ANDROID,68,4,118,7595.84,0,2021-10-20
C1000000194,CUSTOMER,BASIC,VERIFIED,677,CL,International,MOBILE,ANDROID,22,0,4,6120.99,0,2023-08-10
C1000000195,CUSTOMER,PREMIUM,VERIFIED,787,PE,Arequipa,AGENCY,ANDROID,10,1,116,11097.83,0,2023-04-09
C1000000196,CUSTOMER,BASIC,VERIFIED,3163,MX,International,AGENCY,WEB_BROWSER,19,2,108,3794.96,0,2025-07-28
C1000000197,CUSTOMER,PREMIUM,VERIFIED,561,CO,International,MOBILE,IOS,17,2,24,5499.97,0,2025-09-13
C1000000198,CUSTOMER,BASIC,REJECTED,1580,PE,La Libertad,MOBILE,WEB_BROWSER,61,1,116,10671.01,1,2020-07-09
C1000000199,CUSTOMER,PREMIUM,VERIFIED,1255,PE,Junin,MOBILE,ANDROID,30,2,135,7870.8,0,2025-09-11
C1000000200,CUSTOMER,PREMIUM,VERIFIED,1513,PE,La Libertad,AGENCY,IOS,41,3,51,7185.55,0,2022-02-28
C1000000201,CUSTOMER,BASIC,VERIFIED,260,PE,Lima,WEB,ANDROID,46,0,115,11140.41,0,2025-01-28
C1000000202,CUSTOMER,STANDARD,VERIFIED,109,PE,La Libertad,MOBILE,WEB_BROWSER,37,2,172,2353.8,0,2021-03-27
C1000000203,CUSTOMER,PREMIUM,VERIFIED,1798,PE,Cusco,WEB,IOS,33,0,168,4501.39,0,2021-04-16
